scraper,field,old_value,new_value
azimo,funds_in,Debit & Credit Card,Debit/Credit Card
azimo,funds_out,SWIFT,Swift
azimo,funds_out,CASH_PICK_UP,Cash Pick-Up
azimo,funds_out,BANK_DEPOSIT,Bank Deposit
azimo,funds_out,MOBILE_WALLET,Mobile Wallet
azimo,funds_out,PHYSICAL_DELIVERY,Cash Delivery
azimo,speed,24 hours,Within 1 day
azimo,speed,1 hour,Within 1 day
azimo,speed,Within 24 hours,Within 1 day
azimo,speed,1-2 days,Within 2 days
azimo,speed,1-3 working days,Within 3 days
azimo,speed,1-2 working days,Within 2 days
azimo,speed,Same day,Within 1 day
azimo,speed,Instant,Within 1 day
azimo,speed,2 days,Within 2 days
azimo,speed,Usually under 30 minutes,Within 1 day
azimo,speed,2 hours,Within 1 day
azimo,speed,Within 48 hours,Within 2 days
azimo,speed,Next day,Within 2 days
azimo,speed,2 часа,Within 1 day
azimo,speed,В течение 48 часов,Within 2 days
azimo,speed,Within 2 hours,Within 1 day
azimo,speed,Мгновенно,Within 1 day
azimo,speed,Обычно менее 30 минут,Within 1 day
azimo,speed,24 часа,Within 1 day
azimo,speed,1–2 рабочих дня,Within 2 days
azimo,speed,На следующий день,Within 2 days
azimo,speed,Instantly,Within 1 day
azimo,speed,2 дня,Within 2 days
azimo,speed,В течение 24 часов,Within 1 day
azimo,speed,1-2 дня,Within 2 days
azimo,speed,Within 30 minutes,Within 1 day
azimo,speed,Within 1 hour,Within 1 day
azimo,speed,1–3 рабочих дня,Within 3 days
azimo,speed,1 час,Within 1 day
azimo,speed,День в день,Within 1 day
instarem,funds_in,Wire transfer,Bank Transfer
instarem,funds_in,Bank Transfer,Bank Transfer
instarem,funds_in,Debit Card,Debit Card
instarem,funds_in,ACH/Direct Debit,Direct Debit
instarem,funds_in,Set up InstaReM as ‘Payee’,InstaRem
instarem,funds_in,INTERAC e-Transfer,INTERAC e-Transfer
instarem,funds_in,POLI Transfer,POLi Transfer
instarem,funds_in,BPay,BPay
instarem,funds_out,Bank Deposit,Bank Deposit
instarem,speed,1-2 business days,Within 2 days
moneygram,funds_in,Online Bank Account,Bank Transfer
moneygram,funds_in,Debit/Credit Card,Debit/Credit Card
moneygram,funds_in,Sofort,Bank Transfer
moneygram,funds_in,Interac,Bank Transfer
moneygram,funds_in,Bpay,Bank Transfer
moneygram,funds_out,Cash Pickup,Cash Pick-Up
moneygram,funds_out,Home Delivery,Cash Delivery
moneygram,funds_out,Direct to Bank Account,Bank Deposit
moneygram,funds_out,Mobile Wallet,Mobile Wallet
moneygram,funds_out,Other,Other
moneygram,speed,The money is typically available for pickup in minutes.,Within 1 day
moneygram,speed,Within minutes,Within 1 day
orbitremit,funds_in,Bank Transfer,Bank Transfer
orbitremit,funds_in,POLi,POLi Transfer
orbitremit,funds_out,bank_account,Bank Deposit
orbitremit,speed,24 hours,Within 1 day
remit2india,funds_in,Instant Transfers,Bank Transfer (Express)
remit2india,funds_in,Net Banking Express Transfer,Bank Transfer (Express)
remit2india,funds_in,Wire Transfer,Bank Transfer
